Family ID,Created at,Survey number,Priority date,Indicator,Level,Why don't you have it,What will you do to get it,How long will it take to achieve it,Estimated date
36548,2022-12-08,1º,2022-12-08,Bank Services,1,No nos interesa guardar dinero en el banco,En estos momentos no me interesa,12,2023-12-08
36548,2022-12-08,1º,2022-12-08,Budget,1,Solo uno de los dos trabaja,Solo tratar de no salir mucho a comer y ser gastos enesesaros,8,2023-08-08
36548,2022-12-08,1º,2022-12-08,Employability Readiness,1,No tengo mucho tiempo en mis manos para tener libre para algo mas,Tratar de manejar mi tiempo mejor,6,2023-06-08
31203,2022-05-05,2º,2022-05-05,Identification,2,porque no tenemos los documentos apropiados,no ay mucho que hacer,24,2024-05-05
27015,2022-10-05,1º,2022-10-05,Credit,1,I do not how to do it,I want info,8,2023-06-05
27015,2022-05-02,1º,2022-05-02,Savings,1,Sometime we dont have to save,Save at least $10.00 weekly,9,2023-02-02
27015,2022-05-02,1º,2022-05-02,Nutritious diet,2,Because we love to eat all kind food,Make healthy food,10,2023-03-02
139990,2023-05-08,1º,2023-05-08,Savings,1,Bills,Savings plan,6,2023-11-08
139990,2023-05-08,1º,2023-05-08,Insurance,1,No SS#,"Can't get it, goes to migrant clinics.",24,2025-05-08
139990,2023-05-08,1º,2023-05-08,English Literacy,1,Not born in the US,Listening to audios ,9,2024-02-08
31621,2021-11-09,1º,2021-11-09,Credit,1,Have not thought about getting anything out under my name,Try to see what business will help me since i only have a Mexico passport ,4,2022-03-09
31621,2021-11-09,1º,2021-11-09,Physical Activity,1,Family is not use to doing any excercises ,Try to do some walking in the afternoons in my neighborhood ,1,2021-12-09
31621,2021-11-09,1º,2021-11-09,English Literacy,1,Stay home mom and only have friends who speak spanish,Enroll in some college courses,3,2022-02-09
